 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 | 343  | Farfetch'd         | 220    |  0.025% | 172    |  0.024% | 
 | 344  | Solosis            | 216    |  0.024% | 154    |  0.021% | 
 | 345  | Ferroseed          | 214    |  0.024% | 196    |  0.027% | 
 | 346  | Munchlax           | 202    |  0.023% | 165    |  0.023% | 
 | 347  | Togetic            | 200    |  0.023% | 176    |  0.025% | 
 | 348  | Maractus           | 199    |  0.022% | 151    |  0.021% | 
 | 349  | Chimecho           | 199    |  0.022% | 158    |  0.022% | 
 | 350  | Eevee              | 192    |  0.022% | 136    |  0.019% | 
 | 351  | Dustox             | 191    |  0.022% | 133    |  0.019% | 
 | 352  | Zweilous           | 186    |  0.021% | 156    |  0.022% | 
 | 353  | Drilbur            | 185    |  0.021% | 138    |  0.019% | 
 | 354  | Golbat             | 179    |  0.020% | 140    |  0.020% | 
 | 355  | Delcatty           | 178    |  0.020% | 148    |  0.021% | 
 | 356  | Graveler           | 176    |  0.020% | 165    |  0.023% | 
 | 357  | Magnemite          | 171    |  0.019% | 144    |  0.020% | 
 | 358  | Squirtle           | 170    |  0.019% | 148    |  0.021% | 
 | 359  | Delibird           | 169    |  0.019% | 132    |  0.018% | 
 | 360  | Shelgon            | 168    |  0.019% | 139    |  0.019% | 
 | 361  | Bulbasaur          | 158    |  0.018% | 141    |  0.020% | 
 | 362  | Snover             | 155    |  0.017% | 140    |  0.020% | 
 | 363  | Sunflora           | 154    |  0.017% | 125    |  0.017% | 
 | 364  | Pignite            | 152    |  0.017% | 134    |  0.019% | 
 | 365  | Purrloin           | 150    |  0.017% | 110    |  0.015% | 
 | 366  | Stantler           | 150    |  0.017% | 132    |  0.018% | 
 | 367  | Seadra             | 148    |  0.017% | 137    |  0.019% | 
 | 368  | Lunatone           | 146    |  0.016% | 120    |  0.017% | 
 | 369  | Lumineon           | 143    |  0.016% | 108    |  0.015% | 
 | 370  | Metapod            | 137    |  0.015% | 115    |  0.016% | 
