 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 369  | Munchlax           | 21     |  0.002% |
 | 370  | Chimecho           | 20     |  0.002% |
 | 371  | Plusle             | 20     |  0.002% |
 | 372  | Dwebble            | 20     |  0.002% |
 | 373  | Swalot             | 20     |  0.002% |
 | 374  | Natu               | 20     |  0.002% |
 | 375  | Sneasel            | 20     |  0.002% |
 | 376  | Aipom              | 19     |  0.002% |
 | 377  | Oshawott           | 19     |  0.002% |
 | 378  | Seadra             | 19     |  0.002% |
 | 379  | Scraggy            | 18     |  0.002% |
 | 380  | Golbat             | 18     |  0.002% |
 | 381  | Mantyke            | 18     |  0.002% |
 | 382  | Wormadam-Trash     | 18     |  0.002% |
 | 383  | Snivy              | 18     |  0.002% |
 | 384  | Ledian             | 17     |  0.002% |
 | 385  | Togepi             | 17     |  0.002% |
 | 386  | Grotle             | 17     |  0.002% |
 | 387  | Luvdisc            | 17     |  0.002% |
 | 388  | Igglybuff          | 17     |  0.002% |
 | 389  | Porygon            | 17     |  0.002% |
 | 390  | Delibird           | 17     |  0.002% |
 | 391  | Meowth             | 17     |  0.002% |
 | 392  | Fearow             | 16     |  0.002% |
 | 393  | Lumineon           | 16     |  0.002% |
 | 394  | Kakuna             | 16     |  0.002% |
 | 395  | Starly             | 16     |  0.002% |
 | 396  | Darumaka           | 16     |  0.002% |
 | 397  | Squirtle           | 15     |  0.002% |
 | 398  | Minun              | 15     |  0.002% |
 | 399  | Magmar             | 15     |  0.002% |
 | 400  | Charmeleon         | 15     |  0.002% |
 | 401  | Carnivine          | 15     |  0.002% |
 | 402  | Nidorino           | 15     |  0.002% |
 | 403  | Gabite             | 14     |  0.002% |
 | 404  | Tepig              | 14     |  0.002% |
 | 405  | Jigglypuff         | 14     |  0.002% |
 | 406  | Pichu              | 14     |  0.002% |
 | 407  | Ivysaur            | 13     |  0.001% |
 | 408  | Riolu              | 13     |  0.001% |
 | 409  | Wynaut             | 13     |  0.001% |
 | 410  | Croconaw           | 13     |  0.001% |
 | 411  | Monferno           | 13     |  0.001% |
 | 412  | Lairon             | 13     |  0.001% |
 | 413  | Cleffa             | 12     |  0.001% |
 | 414  | Mime Jr.           | 12     |  0.001% |
 | 415  | Treecko            | 12     |  0.001% |
 | 416  | Sunkern            | 12     |  0.001% |
 | 417  | Zorua              | 11     |  0.001% |
 | 418  | Sandshrew          | 11     |  0.001% |
 | 419  | Charmander         | 11     |  0.001% |
 | 420  | Zweilous           | 10     |  0.001% |
 | 421  | Yanma              | 10     |  0.001% |
 | 422  | Omanyte            | 10     |  0.001% |
 | 423  | Whirlipede         | 10     |  0.001% |
 | 424  | Dratini            | 10     |  0.001% |
 | 425  | Machoke            | 10     |  0.001% |
 | 426  | Litwick            | 10     |  0.001% |
 | 427  | Bidoof             | 10     |  0.001% |
 | 428  | Duosion            | 9      |  0.001% |
 | 429  | Bronzor            | 9      |  0.001% |
 | 430  | Skiploom           | 9      |  0.001% |
 | 431  | Marshtomp          | 9      |  0.001% |
 | 432  | Mothim             | 9      |  0.001% |
 | 433  | Gurdurr            | 9      |  0.001% |
 | 434  | Beautifly          | 9      |  0.001% |
 | 435  | Buneary            | 8      |  0.001% |
 | 436  | Azurill            | 8      |  0.001% |
 | 437  | Abra               | 8      |  0.001% |
 | 438  | Quilava            | 8      |  0.001% |
 | 439  | Fraxure            | 8      |  0.001% |
 | 440  | Phione             | 8      |  0.001% |
 | 441  | Diglett            | 7      |  0.001% |
 | 442  | Dustox             | 7      |  0.001% |
 | 443  | Lampent            | 7      |  0.001% |
 | 444  | Swinub             | 7      |  0.001% |
 | 445  | Roselia            | 7      |  0.001% |
 | 446  | Zigzagoon          | 7      |  0.001% |
 | 447  | Growlithe          | 7      |  0.001% |
 | 448  | Mienfoo            | 7      |  0.001% |
 | 449  | Kricketune         | 7      |  0.001% |
 | 450  | Cubone             | 7      |  0.001% |
 | 451  | Totodile           | 6      |  0.001% |
 | 452  | Gulpin             | 6      |  0.001% |
 | 453  | Wingull            | 6      |  0.001% |
 | 454  | Piplup             | 6      |  0.001% |
 | 455  | Ralts              | 6      |  0.001% |
 | 456  | Oddish             | 6      |  0.001% |
 | 457  | Koffing            | 6      |  0.001% |
 | 458  | Skitty             | 6      |  0.001% |
 | 459  | Tentacool          | 6      |  0.001% |
 | 460  | Wailmer            | 5      |  0.001% |
 | 461  | Gothorita          | 5      |  0.001% |
 | 462  | Archen             | 5      |  0.001% |
 | 463  | Trapinch           | 5      |  0.001% |
 | 464  | Venonat            | 5      |  0.001% |
 | 465  | Shroomish          | 5      |  0.001% |
 | 466  | Skorupi            | 5      |  0.001% |
 | 467  | Purrloin           | 5      |  0.001% |
 | 468  | Trubbish           | 5      |  0.001% |
 | 469  | Geodude            | 5      |  0.001% |
 | 470  | Turtwig            | 5      |  0.001% |
 | 471  | Grovyle            | 5      |  0.001% |
 | 472  | Buizel             | 5      |  0.001% |
 | 473  | Weedle             | 5      |  0.001% |
 | 474  | Cranidos           | 5      |  0.001% |
 | 475  | Kirlia             | 4      |  0.000% |
 | 476  | Shuppet            | 4      |  0.000% |
 | 477  | Wormadam-Sandy     | 4      |  0.000% |
 | 478  | Mudkip             | 4      |  0.000% |
 | 479  | Poliwhirl          | 4      |  0.000% |
 | 480  | Croagunk           | 4      |  0.000% |
 | 481  | Voltorb            | 4      |  0.000% |
 | 482  | Drifloon           | 4      |  0.000% |
